"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL"
"spotify:track:0wrJoWft00352ikEAeZVfk","Christmas Time Is Here","Vince Guaraldi Trio","Various Artists","2021-10-08","https://i.scdn.co/image/ab67616d0000b2739bcc89b4ce533772595665b9","https://p.scdn.co/mp3-preview/e87c2bd2f04947a1ee239e649b80611e920438c0?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4ug3lYMkIiu2lFcdw48Y3c","Christmas In Hollis","Run–D.M.C.","Run–D.M.C.","2002-09-10","https://i.scdn.co/image/ab67616d0000b273f2f5c6b6c58055bd4f2992e9","https://p.scdn.co/mp3-preview/06ec0da9198ea4984a44525c23f746eaf80af14a?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2QcHzYMCYyzV3APLMu8qoa","Joy to the World","Town Pipers","Town Pipers","1959","https://i.scdn.co/image/ab67616d0000b2730ac566f4260857f0d1d2d7b9","https://p.scdn.co/mp3-preview/632e400b1cc727e70eecb865e49c81a96a5c7c98?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7wLlfGWHOxAi2mPbaoCNeR","You're A Mean One, Mr. Grinch - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack","Thurl Ravenscroft","Various Artists","2020-10-30","https://i.scdn.co/image/ab67616d0000b273ff948593955ba49351b38c50","https://p.scdn.co/mp3-preview/57e17fb8c34ba57589c5056d0d7cf092f0981894?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0YRJeq6AvbjquIwj3ClOoq","Louisiana Hero - From ""The Falcon and the Winter Soldier""/Score","Henry Jackman","Henry Jackman","2021-03-26","https://i.scdn.co/image/ab67616d0000b27364d99bf2b872a73a6bea8e29","https://p.scdn.co/mp3-preview/d33062713328b7ad95eea0fb50a0fcdc0d0515f6?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:3K8HlqUIFSsNMVjPwTCBsW","Louisiana Hero (Reprise)","Henry Jackman","Henry Jackman","2021-04-30","https://i.scdn.co/image/ab67616d0000b273c8c04963158036ccd40ae055","https://p.scdn.co/mp3-preview/6cee6f82f1fc9ac9e43cebc5c57ddd09533e63e8?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:31YHdtc3RN5X8JYIaNm1Lp","Hawkeye's Theme","Christophe Beck, Michael Paraskevas","Christophe Beck, Michael Paraskevas","2021-12-10","https://i.scdn.co/image/ab67616d0000b273104127aaa93ecfe3df82cad7","https://p.scdn.co/mp3-preview/53691c5e21b9574ed9f54d4cc0322655d9121ce9?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5T7DUEeAj0hkMLTzIlDCRz","Loki Green Theme","Natalie Holt","Natalie Holt","2021-07-02","https://i.scdn.co/image/ab67616d0000b27393c695e6fe6a29007bb51854","https://p.scdn.co/mp3-preview/768915c65355a47dc834d449737a60d635e09ecd?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:3quiGiHztT85koEdjMGF29","Silent Night","Cassietta George","Cassietta George","2014-12-09","https://i.scdn.co/image/ab67616d0000b2739229612dfa07c70932fde7c6","https://p.scdn.co/mp3-preview/80b18e3d34790b4bed115551d12d6b643ae59c05?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:72WCG8ebK02NXfn27hTHfa","The Twelve Days of Christmas","Ray Conniff, The Ray Conniff Singers","The Ray Conniff Singers","1962","https://i.scdn.co/image/ab67616d0000b273d5ac38b28067ddc1801e03fd","https://p.scdn.co/mp3-preview/0322c58af4319174c64525fae1c315bf86ddc94d?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:1EUH2udRB02nwscTwBeS9S","Have Yourself A Merry Little Christmas","Ella Fitzgerald","Ella Fitzgerald","1960","https://i.scdn.co/image/ab67616d0000b273f8daf45f645da3cae641a008","https://p.scdn.co/mp3-preview/3738375105ed3fe4b469401b9619ab07f02f002a?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4Bt0pQudNqNlEkCY4yGlOR","Save The City","Adam Pascal, Ty Taylor, Rory Donovan, Derek Klena, Bonnie Milligan, Christopher Sieber, Shayna Steele","Christophe Beck, Michael Paraskevas","2021-12-22","https://i.scdn.co/image/ab67616d0000b2731c46fa69575e43497e2f3e72","https://p.scdn.co/mp3-preview/b9c1b084d3ba3f99df52e0e41855058cf4599cb6?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4ywmyUAQ0WAdNHXpoWWqfv","Day 'n' Nite","Kid Cudi","Various Artists","2015-05-28","https://i.scdn.co/image/ab67616d0000b273cfb7351677bc314e2315a65b","https://p.scdn.co/mp3-preview/dd4d6c88e084b52b9f3b00f7c11d04245809255d?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4tLhAhJPGCWHMWs9bmkNw7","Day 'N' Nite (From ""Moon Knight"") - Epic","Epic Geek","Epic Geek","2022-01-28","https://i.scdn.co/image/ab67616d0000b273c3ff381c928555c2a0a80cf7","https://p.scdn.co/mp3-preview/2a74382f6a8a9aa8d66090276c532923cd5f1b47?cid=9950ac751e34487dbbe027c4fd7f8e99"
