"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6FwJj7uwhZ1vrBlDZvMLZk","Is You Ready - From ""Mile 22""","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","spotify:album:0kcQVLgW7ugVdFapH14iiP","Is You Ready (From ""Mile 22"")","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","2018-08-17","https://i.scdn.co/image/ab67616d0000b273f3debe3bbd444814ace8d4f8","1","1","184276","https://p.scdn.co/mp3-preview/d3e76dec15780438e721d1ad7d4726e8376a63bd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","USUG11801662","spotify:user:theofficialvelocifaptor","2021-02-09T03:15:46Z"
"spotify:track:53mmczr5bIsDSjiq3tao62","Wanda's Theme (End Credits from ""WandaVision"")","spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Christophe Beck","spotify:album:7cT5OHwrPtilc4Mf7hBU6N","WandaVision: Episode 1 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","1","9","107360","https://p.scdn.co/mp3-preview/4e9f6c67d3b23ed61adf97f1cb1514bd350145fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USHR12141250","spotify:user:theofficialvelocifaptor","2021-02-09T03:16:35Z"
"spotify:track:2J7tTtwQ3cmqD9xYqVqtUh","A Newlywed Couple","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:3C9XpXXMzu9C4ZrtfVu7nx, spotify:artist:6jQAFXkB1ciNf4PLUfIvdF, spotify:artist:5z25CHFEWooGOieYYw4j3T, spotify:artist:7iS9ltSyOIaj4fHeP954mq, spotify:artist:24atAUm9yln5x8Os9PEIwv, spotify:artist:1Yv2bYY94u2nm7OHwrEIcQ, spotify:artist:1wNMHuKUcnVHROrQKTD0nP, spotify:artist:4SRa1GAIUaHyIewJTmBs03, spotify:artist:4H1hvfjLlg0hcxj8lwDOt9","Kristen Anderson-Lopez, Robert Lopez, Sara Mann, Jessica Rotter, Cindy Bourquin, Elyse Willis, Laura Dickinson, Eric Bradley, Greg Whipple, Jasper Randall, Gerald White","spotify:album:7cT5OHwrPtilc4Mf7hBU6N","WandaVision: Episode 1 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","1","1","54240","https://p.scdn.co/mp3-preview/858eede1d05236ec4ef98d5c8109964191a2547d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USHR12141242","spotify:user:theofficialvelocifaptor","2021-02-09T03:17:25Z"
"spotify:track:3b1FO0A6wfi4mYutDBKrSf","Toast-Mate 2000","spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Christophe Beck","spotify:album:7cT5OHwrPtilc4Mf7hBU6N","WandaVision: Episode 1 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","1","2","53760","https://p.scdn.co/mp3-preview/12b21ead062c0c1ef7877e41a79a30d96a121204?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USHR12141243","spotify:user:theofficialvelocifaptor","2021-02-09T03:17:46Z"
"spotify:track:77IuWiPOO0usUcIzIJqK3s","Dinner Is Served","spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Christophe Beck","spotify:album:7cT5OHwrPtilc4Mf7hBU6N","WandaVision: Episode 1 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","1","3","25293","https://p.scdn.co/mp3-preview/afa8a387dd7a627b7737c83605b1ab1e5123fe27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USHR12141244","spotify:user:theofficialvelocifaptor","2021-02-09T03:18:05Z"
"spotify:track:6DxPvZKzXFGkvCsAxLwyH7","Calendar Confusion","spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Christophe Beck","spotify:album:7cT5OHwrPtilc4Mf7hBU6N","WandaVision: Episode 1 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","1","4","64626","https://p.scdn.co/mp3-preview/11aaf638b120c870c0362ca4d52f01c13d58a9ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USHR12141245","spotify:user:theofficialvelocifaptor","2021-02-09T03:18:17Z"
"spotify:track:6AWBOfAksYKOSEk0bNiTTR","Frog in My Throat","spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Christophe Beck","spotify:album:7cT5OHwrPtilc4Mf7hBU6N","WandaVision: Episode 1 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","1","5","108080","https://p.scdn.co/mp3-preview/cfc867b3e7b0f3e1511d681caa4734e763e42903?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USHR12141246","spotify:user:theofficialvelocifaptor","2021-02-09T03:18:21Z"
"spotify:track:5z7HmV7F65C8p6LyH1ONCq","Thank You for Coming","spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Christophe Beck","spotify:album:7cT5OHwrPtilc4Mf7hBU6N","WandaVision: Episode 1 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","1","6","44720","https://p.scdn.co/mp3-preview/99452ea7d7dd85db8eb071da1c731a87d6623435?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USHR12141247","spotify:user:theofficialvelocifaptor","2021-02-09T03:18:26Z"
"spotify:track:6ATXacucFwXxTzVDmRaHhZ","Parcheesi","spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Christophe Beck","spotify:album:7cT5OHwrPtilc4Mf7hBU6N","WandaVision: Episode 1 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","1","7","63386","https://p.scdn.co/mp3-preview/fd1a2fc67d46b832fdcd54562b3a06bf6f3e9bb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USHR12141248","spotify:user:theofficialvelocifaptor","2021-02-09T03:18:31Z"
"spotify:track:0nx7i1ePhvGhlc71qsJq8s","Rings","spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Christophe Beck","spotify:album:7cT5OHwrPtilc4Mf7hBU6N","WandaVision: Episode 1 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","1","8","36946","https://p.scdn.co/mp3-preview/f1636c348109d5891fff90394fcfaffc063b6a66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USHR12141249","spotify:user:theofficialvelocifaptor","2021-02-09T03:18:35Z"
