"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL","Added At"
"spotify:track:7fp41IDi1dqARoX0Nuvz5O","The Oogum Boogum Song","Brenton Wood","Brenton Wood","2017-02-24","https://i.scdn.co/image/ab67616d0000b27307d18e4cc6a7282deca422a5","https://p.scdn.co/mp3-preview/8d380cc1fbc99cfc1831d5bf8774c111f67f6812?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:41:18Z"
"spotify:track:0nZ38fGkU7dOBei8X0XvsP","Fantastico - Remastered","Peggy Lee","Peggy Lee","1960-12-01","https://i.scdn.co/image/ab67616d0000b273a3c42c248c52148cf1fc4a40","https://p.scdn.co/mp3-preview/3be6aa62ae890be1b5eea98f56a252b1d986376e?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:42:35Z"
"spotify:track:7h1r6c5C8HZpDmmCodIIW4","The Fantastic Four: First Steps Main Theme Extended Version","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/e2bd5c4c1735ca7c812875e56d107091ed266f25?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T02:05:58Z"
