"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:753sRMieYWBC6HGodwtkjI","Nomad","spotify:artist:5HenzRvMtSrgtvU16XAoby, spotify:artist:1S2S00lgLYLGHWA44qGEUs","Zion.T, Gen Hoshino","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","5","204173","https://p.scdn.co/mp3-preview/e7054117d2927620f6bd1dbda4d5f2e4084a7537?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USUM72114020","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:3zpGIFghtnVlwMXWyKW474","Fire In The Sky","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","6","201786","https://p.scdn.co/mp3-preview/867d1d8e1f20504e25f5e209cc2b563834c357ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USUM72113049","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:1Mut1YA6ZxKZ7F6MKsMSQu","Lose Control","spotify:artist:7Dx7RhX0mFuXhCOUgB01uM","JJ Lin","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","7","254800","https://p.scdn.co/mp3-preview/07795f018e7860b50817c84819f4c78bbc160af2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USUM72112429","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:06nIuUCXydh4DcVfFhJa4R","Every Summertime","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","8","215666","https://p.scdn.co/mp3-preview/e333409b7a94f092d08430c63d1a22cfb4af1c34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USUM72114018","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:2u2QmdOex0MnbWuHmC7jcD","Never Gonna Come Down","spotify:artist:4l1q0z9xeJcJw73Gxc6gCB, spotify:artist:6UbmqUEgjLA6jAcXwbM1Z9","Mark Tuan, BIBI","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","9","203800","https://p.scdn.co/mp3-preview/6651637d451e4467e378766466a17519ccf27e0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USUM72113052","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:3nXWCSTtbJFwvnLuMTIYwF","Foolish","spotify:artist:2IDLDx25HU1nQMKde4n61a, spotify:artist:4qcKNkdxUidhvUByB2eQ6g, spotify:artist:0NcPKaSNIHAM2RfioH9vMT","Rich Brian, Warren Hue, Guapdad 4000","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","10","177626","https://p.scdn.co/mp3-preview/fd62b46fbb84fb7a04120ccc64d3fbd11f8b9ef7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USUM72113055","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:4aZXxStzucuminkE8up916","Clocked Out!","spotify:artist:0Wwji82sLA0Hcvtuak3omb, spotify:artist:2kxP07DLgs4xlWz8YHlvfh","AUDREY NUNA, NIKI","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","11","190080","https://p.scdn.co/mp3-preview/55b33a37c746fd7d03723ff7c4b2559bb29713e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USUM72113057","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:36Ajx3OHw1qOAjS4tJs38V","Act Up","spotify:artist:2IDLDx25HU1nQMKde4n61a, spotify:artist:5MbNzCW3qokGyoo9giHA3V","Rich Brian, EARTHGANG","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","12","198626","https://p.scdn.co/mp3-preview/45c9526c3f9d0ef579b65f6d66ddaa575b6258d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USUM72113053","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:0RszjqOiIwaZGnXUDuAq1C","Baba Says","spotify:artist:2eeDDDoYRBX8a2jRxLSv3D, spotify:artist:7EXu0Jpw5KK3rJFHrDkU52","阿达娃, 沙一汀EL","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","13","263186","https://p.scdn.co/mp3-preview/f4b41952a2bf849423c1c224ea439248f0095628?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USUM72113058","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
"spotify:track:5x4vgABKiGp4Vg7ZyFRxhn","Run It (feat. Rick Ross & Rich Brian)","spotify:artist:540vIaP2JwjQb9dm3aArA4, spotify:artist:1sBkRIssrMs1AbVkOJbc7a, spotify:artist:2IDLDx25HU1nQMKde4n61a","DJ Snake, Rick Ross, Rich Brian","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","14","163373","https://p.scdn.co/mp3-preview/4d2f75377afb40632007e3872ae1cf9e26b45863?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USUM72113051","spotify:user:theofficialvelocifaptor","2021-12-19T09:31:13Z"
