"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL"
"spotify:track:1OSzW4ipZpmVtzdNvsjG6v","To My Son","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/57a8ff618135588d17d5cb85bde6bdaa794e9496?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:27XzkVxTM5BAoFUsOUqgEP","Miles Sketchbook","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/787b269791fc74221b6059f7354374309c5a6572?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0bkODIzOJ1ecoQFjn9rjX1","Under the Clocktower","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/e196c1fec5e6f64f81cab9787c1e592608ab7f9e?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2hzINlUQk8wQhFdWmnEXNg","Rio and Miles","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/8880e25ba9e95f402debbfe16d42842ed382f2e7?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5TJOjWs360Yo8FCWEbdEm7","Creation of The Spot","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/b5e41626105fc5decaccd3a10523433fdb543f17?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6JzXhKJhK1UKTCwZTvchP2","Spider-Man India (Pavitr Prabhakar)","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/10baaa4530e32a976f043d89198063956919d92c?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0r0KpTIcv9NwlBKwvCZOPX","Mumbattan Madness","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/8d9500cf5daccc18567a97279d18731ba0cb1fb4?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5LNHkP7yYKHlkp4LNFJjU8","Spider-Punk (Hobie Brown)","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/1f110894c348f001988f5555b2b6170803f8dd42?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2G6N99ANS6NGn9BusRUmCx","Spot Holes 2","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/f528afc17094b626dd98db1db51313bd5df3bb1c?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5KulFjYpa8CSKdJ1vszEoK","Indian Teamwork","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/fd6f6519672955b270ae1555f2755593f33b01ef?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2KJ4gGT7NIFiZ7rXpX1nxE","Welcome to Nueva York (Earth-928)","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/214a621a6c0592de5f2f1df3572e95d5e788c6ba?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0v8XvLja57KlOAFSxd71kY","Spider Society","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/ccb79840eda9960a2851eba0eee77e72a1ee7649?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0AlTGxsaONycIhAaHS8AfU","2099 Lab","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/67a9fbb68969636d1336a343b5d27b6fc0c0616a?cid=9950ac751e34487dbbe027c4fd7f8e99"
